"PART#","CA WAREHOUSE","VA WAREHOUSE","TX WAREHOUSE","PRICE"
"PC30196","IN STOCK","IN STOCK","IN STOCK","56.66"
"PC30197","IN STOCK","IN STOCK","IN STOCK","62.66"
"PC30198","IN STOCK","IN STOCK","IN STOCK","53.66"
"PC30199","IN STOCK","IN STOCK","IN STOCK","52.66"
"PC30200","IN STOCK","IN STOCK","IN STOCK","62.66"
"PC30202","IN STOCK","IN STOCK","IN STOCK","72.66"
"PC30203","IN STOCK","IN STOCK","IN STOCK","62.66"
"PC30204","IN STOCK","IN STOCK","IN STOCK","58.66"
"PC30205","IN STOCK","LIMITED QTY","LIMITED QTY","92.66"
"PC30206","IN STOCK","IN STOCK","IN STOCK","72.66"
"PC30207","IN STOCK","IN STOCK","IN STOCK","51.66"
"PC30208","IN STOCK","IN STOCK","IN STOCK","63.66"
"PC30209","IN STOCK","IN STOCK","IN STOCK","59.66"
"PC3020P","LIMITED QTY","LIMITED QTY","LIMITED QTY","62.66"
"PC30210","IN STOCK","IN STOCK","IN STOCK","65.66"
"PC30211","IN STOCK","IN STOCK","IN STOCK","66.66"
"PC30212","IN STOCK","IN STOCK","IN STOCK","59.66"
"PC30213","IN STOCK","IN STOCK","IN STOCK","72.66"
"PC30214","IN STOCK","IN STOCK","IN STOCK","66.66"
"PC30215","IN STOCK","IN STOCK","IN STOCK","55.66"
"PC30216","IN STOCK","IN STOCK","IN STOCK","51.66"
"PC30218","IN STOCK","IN STOCK","IN STOCK","72.66"
"PC30219","IN STOCK","IN STOCK","LIMITED QTY","72.66"
"PC30220","IN STOCK","IN STOCK","IN STOCK","49.66"
"PC30221","IN STOCK","IN STOCK","IN STOCK","59.66"
"PC30222","IN STOCK","IN STOCK","IN STOCK","59.66"
"PC30223","IN STOCK","IN STOCK","IN STOCK","58.66"
"PC30224","IN STOCK","LIMITED QTY","LIMITED QTY","58.66"
"PC30226","IN STOCK","IN STOCK","IN STOCK","64.66"
"PC30227","IN STOCK","IN STOCK","LIMITED QTY","56.66"
"PC30228","IN STOCK","IN STOCK","IN STOCK","73.66"
"PC30229","IN STOCK","IN STOCK","IN STOCK","63.66"
"PC3022P","IN STOCK","LIMITED QTY","LIMITED QTY","62.66"
"PC30230","IN STOCK","IN STOCK","IN STOCK","66.66"
"PC30231","IN STOCK","IN STOCK","IN STOCK","58.66"
"PC30232","IN STOCK","IN STOCK","IN STOCK","73.66"
"PC30233","IN STOCK","IN STOCK","IN STOCK","72.66"
"PC30234","IN STOCK","IN STOCK","IN STOCK","67.66"
"PC30235","IN STOCK","IN STOCK","IN STOCK","62.66"
"PC30237","IN STOCK","LIMITED QTY","LIMITED QTY","67.66"
"PC30238","IN STOCK","LIMITED QTY","IN STOCK","125.66"
"PC3023P","IN STOCK","LIMITED QTY","LIMITED QTY","49.66"
"PC30240","IN STOCK","IN STOCK","IN STOCK","67.66"
"PC30241","IN STOCK","IN STOCK","IN STOCK","72.66"
"PC30243","IN STOCK","IN STOCK","IN STOCK","98.66"
"PC30244","IN STOCK","LIMITED QTY","LIMITED QTY","102.66"
"PC30245","IN STOCK","IN STOCK","IN STOCK","48.66"
"PC30246","IN STOCK","IN STOCK","IN STOCK","52.66"
"PC30248","IN STOCK","LIMITED QTY","IN STOCK","56.66"
"PC30249","IN STOCK","IN STOCK","IN STOCK","52.66"
"PC3024P","OUT OF STOCK","LIMITED QTY","LIMITED QTY","64.66"
"PC30250","IN STOCK","LIMITED QTY","IN STOCK","56.66"
"PC30252","IN STOCK","IN STOCK","IN STOCK","52.66"
"PC30253","IN STOCK","LIMITED QTY","LIMITED QTY","78.66"
"PC30254","IN STOCK","IN STOCK","IN STOCK","62.66"
"PC30255","IN STOCK","IN STOCK","IN STOCK","49.66"
"PC30256","LIMITED QTY","LIMITED QTY","LIMITED QTY","52.66"
"PC30257","IN STOCK","IN STOCK","IN STOCK","62.66"
"PC30258","IN STOCK","IN STOCK","IN STOCK","59.66"
"PC30259","IN STOCK","IN STOCK","IN STOCK","62.66"
"PC3025P","LIMITED QTY","LIMITED QTY","LIMITED QTY","61.66"
"PC3026","IN STOCK","IN STOCK","IN STOCK","57.66"
"PC30261","IN STOCK","IN STOCK","IN STOCK","62.66"
"PC30262","IN STOCK","IN STOCK","IN STOCK","52.66"
"PC30263","LIMITED QTY","IN STOCK","LIMITED QTY","113.66"
"PC30264","IN STOCK","LIMITED QTY","LIMITED QTY","77.66"
"PC30265","IN STOCK","LIMITED QTY","LIMITED QTY","54.66"
"PC30266","IN STOCK","LIMITED QTY","LIMITED QTY","62.66"
"PC30267","IN STOCK","IN STOCK","IN STOCK","62.66"
"PC30268","IN STOCK","IN STOCK","IN STOCK","72.66"
"PC30269","IN STOCK","LIMITED QTY","LIMITED QTY","57.66"
"PC3027","OUT OF STOCK","OUT OF STOCK","OUT OF STOCK","59.66"
"PC30271","IN STOCK","LIMITED QTY","LIMITED QTY","68.66"
"PC30272","IN STOCK","IN STOCK","IN STOCK","58.66"
"PC30273","IN STOCK","LIMITED QTY","LIMITED QTY","62.66"
"PC30274","IN STOCK","IN STOCK","IN STOCK","55.66"
"PC30275","IN STOCK","IN STOCK","IN STOCK","58.66"
"PC30277","IN STOCK","LIMITED QTY","LIMITED QTY","67.66"
"PC30278","IN STOCK","LIMITED QTY","IN STOCK","66.66"
"PC30279","IN STOCK","IN STOCK","IN STOCK","62.66"
"PC3028","LIMITED QTY","OUT OF STOCK","OUT OF STOCK","102.66"
"PC30280","OUT OF STOCK","OUT OF STOCK","OUT OF STOCK","67.66"
"PC30281","IN STOCK","IN STOCK","LIMITED QTY","55.66"
"PC30285","IN STOCK","IN STOCK","IN STOCK","52.66"
