PART#,TX,PRICE
4010031,3,62.28
4010032,5,40.05
4010033,6,35.07
4010034,15,51.66
4010035,10,61.07
4010036,16,64.37
4010037,6,67.95
4010038,3,40.93
4010039,1,33.33
4010040,5,45.55
4010041,6,61.43
4010042,0,34.23
4010043,5,40.05
4010045,9,56.25
4010046,10,43.71
4010047,0,59.51
4010048,0,56.25
4010049,0,43.25
4010050,0,34.87
4010051,0,51.93
4010052,0,35.85
4010053,7,96.42
4010054,6,33.53
4010055,5,43.47
4010056,1,27.56
4010057,0,56.25
4010058,0,58.31
4010060,5,32.73
4010061,5,50.22
4010062,3,30.88
4010064,3,42.08
4010065,11,53.89
4010066,4,29.27
4010067,0,34.93
4010068,4,31.92
4010069,7,32.03
4010070,19,29.67
4010071,0,27.59
4010072,6,43.02
4010073,1,46.64
4010074,6,38.82
4010075,5,55.58
4010076,7,59.26
4010077,9,35.18
4010078,0,24.28
4010079,5,34.4
4010080,3,40.14
4010081,6,38.04
4010082,0,66.35
4010083,0,40.59
4010084,3,54.14
4010085,1,104.68
4010086,20,63.63
4010087,9,60.41
4010088,1,59.86
4010089,1,17.85
4010090,0,54.59
4010091,1,46.87
4010092,5,65.8
4010093,1,31.8
4010094,3,28.64
4010095,3,28.16
4010096,6,29.43
4010097,5,27.07
4010098,3,38.86
4010099,0,73.58
4010100,5,47.59
4010101,0,27.46
4010102,4,45.08
4010103,5,40.23
4010104,5,33.03
4010105,0,79.47
4010106,2,29.03
4010107,0,75.58
4010108,2,46.66
4010109,6,52.37
4010110,0,27.46
4010111,10,33.44
4010112,0,57.09
4010113,7,58.12
4010114,0,48.72
4010115,7,55.41
4010116,0,45.34
4010117,0,57.19
4010118,0,52.41
4010119,5,34.99
4010120,15,57.51
4010121,12,55.92
4010122,0,41.38
4010123,5,104.95
4010124,2,45.82
4010125,0,33.89
4010126,0,36.63
4010127,3,57.09
4010128,18,45.15
4010129,0,36.63
4010130,0,31.65
4010131,0,49.78
4010132,0,33.44
4010133,0,42.39
4010134,1,44.63
4010135,0,61.85
4010136,0,60.83
4010137,1,71
4010138,25,19.09
4010140,6,42.54
4010141,14,49.91
4010142,3,44.25
4010143,12,47.82
4010144,3,41.21
4010145,5,40.11
4010146,7,47
4010147,22,32.73
4010148,5,40.11
4010149,0,25.57
4010150,5,39.41
4010151,0,27.53
4010152,0,38.67
4010153,41,38.68
4010154,4,52.04
4010155,3,61.05
4010156,0,33.44
4010157,0,64.8
4010158,10,49.76
4010159,9,25.81
4010160,9,59.96
4010161,0,36.43
4010162,4,32.75
4010163,19,26.83
4010164,3,35.86
4010165,2,57.48
4010166,0,531.14
4010167,0,60.26
4010168,1,50.81
4010169,21,25.57
4010170,4,46.03
4010171,2,50.54
4010172,11,34.53
4010173,0,31.65
4010174,5,30.86
4010175,0,36.93
4010176,0,60.6
4010177,7,43.96
4010178,7,55.45
4010179,1,46.56
4010180,0,43.55
4010181,0,21.94
4010182,13,65.21
4010183,0,67.13
