Part,Available Quantity,Location Code
AK 1346,0,MAIN
AK 1347,3,MAIN
AK 1348,0,MAIN
AK 1350,4,MAIN
AK 1351,1,MAIN
AK 1352,5,MAIN
AK 1353,0,MAIN
AK 1354,0,MAIN
AK 1355,15,MAIN
AK 1356,0,MAIN
AK 1357,2,MAIN
AK 1358,0,MAIN
AK 1359,0,MAIN
AK 1360,0,MAIN
AK 1361,3,MAIN
AK 1362,6,MAIN
AK 1363,6,MAIN
AK 1364,3,MAIN
AK 1365,2,MAIN
AK 1367,2,MAIN
AK 1368,0,MAIN
AK 1369,2,MAIN
AK 1371,3,MAIN
AK 1373,2,MAIN
AK 1374,4,MAIN
AK 1375,0,MAIN
AK 1376,0,MAIN
AK 1377,1,MAIN
AK 1378,1,MAIN
AK 1379,7,MAIN
AK 1380,2,MAIN
AK 1381,1,MAIN
AK 1382,2,MAIN
AK 1383,2,MAIN
AK 1384,1,MAIN
AK 1385,2,MAIN
AK 1386,2,MAIN
AK 1387,1,MAIN
AK 1388,2,MAIN
AK 1389,2,MAIN
AK 1390,2,MAIN
AK 1391,2,MAIN
AK 1392,2,MAIN
AK 1395,2,MAIN
AK 1396,11,MAIN
AK 1397,2,MAIN
AK 1398,2,MAIN
AK 1399,2,MAIN
AK 1400,6,MAIN
AK 1401,2,MAIN
AK 1402,2,MAIN
AK 1403,2,MAIN
AK 1404,14,MAIN
AK 1405,2,MAIN
AK 1406,2,MAIN
AK 1407,2,MAIN
AK 1408,2,MAIN
AK 1409,6,MAIN
AK 1410,2,MAIN
AK 1411,2,MAIN
AK 1412,2,MAIN
AK 1413,2,MAIN
AK 1414,2,MAIN
AK 1415,2,MAIN
AK 1416,1,MAIN
AK 1417,1,MAIN
AK 1418,1,MAIN
AK 1419,1,MAIN
AK 1420,2,MAIN
AK 1421,2,MAIN
AK 1422,2,MAIN
AK 1423,0,MAIN
AK 1424,0,MAIN
AK 1425,5,MAIN
AK 1426,0,MAIN
AK 1427,11,MAIN
AK 1428,11,MAIN
AK 1429,2,MAIN
AK 1430,2,MAIN
AK 1431,2,MAIN
AK 1432,2,MAIN
AK 1433,2,MAIN
AK 1434,2,MAIN
AK 1435,2,MAIN
AK 1436,2,MAIN
AK 1437,0,MAIN
AK 1438,0,MAIN
AK 1439,0,MAIN
AK 1440,1,MAIN
AK 1441,2,MAIN
AK 1442,15,MAIN
AK 1443,0,MAIN
AK 1444,2,MAIN
AK 1445,2,MAIN
AK 1446,2,MAIN
AK 1447,2,MAIN
AK 1448,5,MAIN
AK 1449,7,MAIN
AK 1450,5,MAIN
AK 1451,7,MAIN
AK 1452,8,MAIN
AK 1453,1,MAIN
AK 1454,3,MAIN
AK 1455,13,MAIN
AK 1456,0,MAIN
AK 1457,2,MAIN
AK 1458,2,MAIN
AK 1459,9,MAIN
AK 1460,9,MAIN
AK 1461,15,MAIN
AK 1462,2,MAIN
AK 1463,2,MAIN
AK 1464,15,MAIN
AK 1465,6,MAIN
AK 1466,15,MAIN
AK 1467,0,MAIN
AK 1468,6,MAIN
AK 1469,2,MAIN
AK 1470,9,MAIN
AK 1471,9,MAIN
AK 1472,3,MAIN
AK 1473,0,MAIN
AK 1474,0,MAIN
AK 1475,2,MAIN
AK 1476,3,MAIN
AK 1477,1,MAIN
AK 1478,1,MAIN
AK 1479,1,MAIN
AK 1480,1,MAIN
AK 1481,0,MAIN
AK 1482,3,MAIN
AK 1483,3,MAIN
AK 1484,0,MAIN
AK 1485,0,MAIN
AK 1486,12,MAIN
AK 1487,12,MAIN
AK 1488,12,MAIN
AK 1489,3,MAIN
AK 1490,12,MAIN
AK 1491,0,MAIN
AK 1492,2,MAIN
AK 1493,2,MAIN
AK 1494,2,MAIN
AK 1495,3,MAIN
AK 1496,3,MAIN
AK 1497,0,MAIN
AK 1498,3,MAIN
AK 1499,3,MAIN
AK 1500,3,MAIN
AK 1501,12,MAIN
AK 1502,2,MAIN
AK 1503,12,MAIN
AK 1504,3,MAIN
AK 1505,3,MAIN
AK 1506,11,MAIN
AK 1507,12,MAIN
AK 1508,0,MAIN
AK 1509,8,MAIN
AK 1510,3,MAIN
AK 1511,1,MAIN
AK 1512,3,MAIN
AK 1513,3,MAIN
AK 1514,3,MAIN
AK 1515,12,MAIN
AK 1516,3,MAIN
AK 1517,11,MAIN
AK 1518,12,MAIN
AK 1519,5,MAIN
AK 1520,4,MAIN
AK 1521,12,MAIN
AK 1522,0,MAIN
AK 1523,1,MAIN
AK 1524,1,MAIN
AK 1525,12,MAIN
AK 1526,12,MAIN
AK 1527,3,MAIN
AK 1528,3,MAIN
AK 1529,3,MAIN
AK 1530,3,MAIN
AK 1531,0,MAIN
AK 1532,2,MAIN
AK 1533,12,MAIN
AK 1534,3,MAIN
AK 1535,0,MAIN
AK 1536,1,MAIN
AK 1537,3,MAIN
AK 1538,3,MAIN
AK 1539,12,MAIN
AK 1540,0,MAIN
AK 1541,12,MAIN
AK 1542,0,MAIN
AK 1543,1,MAIN
AK 1544,0,MAIN
AK 1545,2,MAIN
AK 1546,0,MAIN
AK 1547,0,MAIN
AK 1548,3,MAIN
AK 1549,2,MAIN
AK 1550,1,MAIN
AK 1551,2,MAIN
AK 1552,0,MAIN
AK 1553,2,MAIN
AK 1554,0,MAIN
AK 1555,2,MAIN
AK 1556,2,MAIN
AK 1557,0,MAIN
AK 1558,0,MAIN
AK 1559,0,MAIN
AK 1560,2,MAIN
AK 1561,2,MAIN
AK 1562,0,MAIN
AK 1563,0,MAIN
AK 1564,5,MAIN
AK 1565,3,MAIN
AK 1566,2,MAIN
AK 1567,4,MAIN
AK 1568,2,MAIN
AK 1569,0,MAIN
AK 1570,4,MAIN
AK 1571,2,MAIN
AK 1572,0,MAIN
AK 1573,4,MAIN
AK 1574,2,MAIN
AK 1575,0,MAIN
AK 1576,0,MAIN
AK 1577,0,MAIN
AK 1578,4,MAIN
AK 1579,3,MAIN
AK 1580,3,MAIN
AK 1581,3,MAIN
AK 1582,8,MAIN
AK 1583,8,MAIN
AK 1584,1,MAIN
AK 1585,3,MAIN
AK 1586,3,MAIN
AK 1587,3,MAIN
AK 1588,4,MAIN
AK 1589,3,MAIN
AK 1590,2,MAIN
AK 1591,2,MAIN
AK 1592,1,MAIN
AK 1593,5,MAIN
AK 1594,5,MAIN
AK 1595,2,MAIN
AK 1596,2,MAIN
AK 1597,5,MAIN
AK 1598,2,MAIN
AK 1599,0,MAIN
AK 1600,0,MAIN
AK 1601,0,MAIN
AK 1602,0,MAIN
AK 1603,0,MAIN
AK 1605,1,MAIN
AK 1606,1,MAIN
AK 1607,8,MAIN
AK 1608,12,MAIN
AK 1609,8,MAIN
AK 1610,0,MAIN
AK 1611,2,MAIN
AK 1612,8,MAIN
AK 1613,0,MAIN
AK 1614,6,MAIN
AK 1615,0,MAIN
AK 1616,0,MAIN
AK 1617,2,MAIN
AK 1618,3,MAIN
AK 1619,3,MAIN
AK 1620,0,MAIN
AK 1621,1,MAIN
AK 1622,1,MAIN
AK 1623,4,MAIN
AK 1625,0,MAIN
AK 1626,0,MAIN
AK 1627,3,MAIN
AK 1628,0,MAIN
AK 1629,5,MAIN
AK 1630,3,MAIN
AK 1631,0,MAIN
AK 1632,0,MAIN
AK 1633,1,MAIN
AK 1634,5,MAIN
AK 1635,3,MAIN
AK 1636,5,MAIN
AK 1637,5,MAIN
AK 1638,5,MAIN
AK 1639,0,MAIN
AK 1640,0,MAIN
AK 1641,2,MAIN
AK 1642,0,MAIN
AK 1643,0,MAIN
AK 1644,1,MAIN
AK 1645,0,MAIN
AK 1646,0,MAIN
AK 1647,2,MAIN
AK 1648,0,MAIN
AK 1649,0,MAIN
AK 1650,1,MAIN
AK 1651,0,MAIN
AK 1652,0,MAIN
AK 1653,2,MAIN
AK 1654,2,MAIN
AK 1655,5,MAIN
AK 1656,0,MAIN
AK 1657,0,MAIN
AK 1658,0,MAIN
AK 1659,1,MAIN
AK 1660,6,MAIN
AK 1661,0,MAIN
AK 1662,5,MAIN
AK 1663,0,MAIN
AK 1664,13,MAIN
AK 1665,5,MAIN
AK 1666,3,MAIN
AK 1667,8,MAIN
AK 1668,0,MAIN
AK 1669,2,MAIN
AK 1670,7,MAIN
AK 1671,8,MAIN
AK 1672,1,MAIN
AK 1673,1,MAIN
AK 1674,3,MAIN
AK 1675,1,MAIN
AK 1676,0,MAIN
AK 1677,1,MAIN
AK 1678,1,MAIN
