PART#,CROSS,NV,TX,PA,FL,PRICE
14-0043C,,3,0,0,0,120.01
14-0043MPR,,0,0,0,0,606.03
14-0043N,,0,0,0,0,212
14-0043NC,,0,0,0,0,248.93
14-0043NEW,,71,12,0,3,165.76
14-0043NIP,,4,2,0,8,234.79
14-0043RC,,44,0,0,1,87.77
14-0044C,,0,0,0,0,117.09
14-0044N,,0,0,0,2,212
14-0044NC,,0,0,0,0,219.63
14-0044NEW,,87,19,0,1,183.74
14-0044NIP,,2,0,0,1,243.77
14-0045C,,1,0,0,1,95.26
14-0045NC,,8,3,0,1,160.18
14-0045NEW,,23,3,0,7,183.65
14-0045NIP,,3,1,0,1,262.6
14-0045RC,,15,0,0,0,108.16
14-0046C,,0,0,0,3,200.64
14-0046NC,,0,0,0,0,265.04
14-0047C,,0,0,0,0,214.51
14-0047NC,,0,0,0,0,286.75
14-0047NIP,,22,4,0,2,229.35
14-0048C,,1,0,0,0,178.71
14-0048NC,,8,0,0,0,157.25
14-0048NEW,,23,1,0,1,162.34
14-0048NIP,,0,0,0,0,234.73
14-0049C,,0,0,0,0,83.87
14-0049N,,0,0,0,0,212
14-0049NC,,0,0,0,0,262.12
14-0049NEW,,135,10,0,0,171.48
14-0049NIP,,4,1,0,1,252.33
14-0049RC,,5,0,0,0,115.55
14-0050C,,4,0,0,0,87.81
14-0050NC,,0,0,0,0,268.92
14-0050NEW,,38,1,0,0,126.96
14-0050NEW-CR,,0,0,0,0,386.67
14-0050P,,0,2,0,0,131.76
14-0051C,,0,0,0,2,268.07
14-0051NC,,0,0,0,0,229.97
14-0051NEW,,177,11,0,0,193.51
14-0052C,,0,0,0,0,104.95
14-0052NC,,32,0,0,0,193.57
14-0052NEW,,45,5,0,1,231.1
14-0052NIP,,17,3,0,5,378.15
14-0052RC,,3,0,0,0,118.1
14-0053C,,0,0,0,0,132.01
14-0053NC,,0,0,0,0,368.2
14-0053NEW,,62,0,0,0,182.87
14-0053NIP,,0,0,0,0,335.73
14-0053P,,46,12,0,1,147.36
14-0054C,,0,0,0,0,220.7
14-0054N,,0,0,0,0,212
14-0055C,,1,0,0,1,139.69
14-0055GM,,0,0,0,0,325.08
14-0055NC,,0,0,0,0,305.45
14-0055NEW,,47,4,0,0,105.62
14-0056C,,0,0,0,0,195.51
14-0056NC,,0,0,0,0,284.36
14-0056NEW,,0,0,0,0,338.23
14-0057C,,0,0,0,0,198.17
14-0057NC,,167,0,0,0,277.06
14-0057NEW,,0,0,0,0,175
14-0057RC,,0,0,0,0,162.69
14-0058C,,1,0,0,0,240.03
14-0058NC,,0,0,0,0,258.34
14-0059C,,0,0,0,0,237.9
14-0059NC,,0,0,0,0,234.73
14-0060C,,0,0,0,0,114.65
14-0060NC,,10,0,0,0,297.75
14-0060NEW,,0,0,0,2,156.29
14-0060NIP,,0,0,0,0,354.54
14-0061C,,0,0,0,0,93.88
14-0061NC,,0,0,0,0,149.74
14-0061NEW,,36,5,0,0,192.38
14-0061RC,,4,0,0,0,203.75
14-0062C,,0,0,0,0,186.16
14-0062NC,,0,0,0,0,298.13
14-0063C,,0,0,0,0,171.97
14-0063NC,,0,0,0,0,301.11
14-0063NEW,,11,0,0,0,180.27
14-0063NIP,,0,0,0,0,298.13
14-0064C,,1,0,0,1,83.87
14-0064N,,0,0,0,0,212
14-0064NC,,2,2,0,0,187.29
14-0064NEW,,47,8,0,0,179.88
14-0064RC,,2,0,0,0,110.46
14-0065C,,1,0,0,1,157.22
14-0065NC,,0,0,0,0,234.73
14-0065NEW,,5,0,0,0,190.76
14-0066C,,0,0,0,0,171.97
14-0066NC,,0,0,0,0,248.93
14-0066NEW,,25,1,0,0,215.13
14-0067C,,0,0,0,0,150.17
14-0067MPR,,0,0,0,0,534.28
14-0067N,,0,0,0,0,212
14-0067NC,,0,0,0,4,247.19
14-0067NEW,,177,9,0,9,173.38
14-0067NIP,,13,2,0,2,279.03
14-0067RC,,7,0,0,0,112.72
14-0068C,,1,0,0,0,215.12
14-0068N,,0,0,0,0,212
14-0068NC,,0,0,0,0,184.98
14-0068NEW,,96,4,0,0,175.53
14-0068NIP,,268,94,0,13,256.45
14-0068RC,,1,0,0,0,118.1
14-0069C,,3,0,0,0,338.94
14-0069NC,,0,0,0,0,316.83
14-0069NEW,,6,0,0,0,387.13
14-0070C,,0,0,0,0,223.28
14-0070NC,,0,0,0,0,249
14-0070NEW,,22,0,0,0,268.77
14-0070RC,,9,0,0,0,147.11
14-0071C,,2,0,0,0,132.01
14-0071N,,0,0,0,1,212
14-0071NC,,0,0,0,0,316.83
14-0071NEW,,550,66,0,7,155.92
14-0071NIP,,0,1,0,1,304.93
14-0071RC,,10,0,0,0,115.55
14-0072C,,0,0,0,0,153.26
14-0072N,,0,0,0,0,212
14-0072NC,,9,0,0,3,201.1
14-0072NEW,,882,68,0,22,188.56
14-0072NEW-A,,0,0,0,0,237.95
14-0072NIP,,0,1,0,0,316.29
14-0072P,,28,1,0,0,194.65
14-0072RC,,3,0,0,0,87.11
14-0073NC,,0,0,0,0,143.28
14-0074C,,0,0,0,0,120.01
14-0074NC,,0,0,0,0,250.03
14-0074NEW,,468,27,0,7,164.25
14-0074NIP,,150,9,0,4,282.2
14-0074RC,,10,0,0,0,69.7
14-0075C,,0,0,0,0,171.97
14-0075NC,,0,0,0,0,237.36
14-0075NEW,,0,0,0,0,234.5
14-0076C,,0,0,0,0,139.69
14-0076NC,,12,0,0,0,355.69
14-0076NEW,,63,1,0,0,123.27
14-0076NIP,,74,12,0,2,432.9
14-0077C,,0,0,0,0,200.64
14-0078C,,0,0,0,0,117.09
14-0078NC,,0,1,0,1,419.02
14-0078NEW,,126,2,0,3,206.85
14-0078RC,,3,0,0,0,110.46
14-0079C,,0,0,0,0,236.03
14-0079NC,,0,0,0,0,371.23
14-0080C,,0,0,0,0,243.63
14-0081C,,0,0,0,0,108.92
14-0081NC,,0,0,0,0,297.06
14-0081NEW,,481,11,22,1,143.21
14-0081NIP,,76,5,0,5,276.64
14-0081RC,,13,0,0,0,102.51
14-0082C,,1,0,0,0,91.15
14-0082NC,,0,0,0,0,239.63
14-0082NEW,,30,2,0,1,157.76
14-0082NIP,,16,1,0,4,334.65
14-0082RC,,2,0,0,0,99.52
14-0083C,,0,0,0,0,315.29
14-0083NC,,0,0,0,0,174.51
14-0083NEW,,0,0,0,0,249.23
14-0084NC,,0,0,0,0,332.54
14-0084NEW,,0,0,0,0,249.23
14-0085C,,0,0,0,0,154.06
14-0085N,,0,0,0,0,318
14-0085NC,,0,0,0,0,332.3
14-0085NEW,,153,11,0,0,182.25
14-0085S,,118,0,0,0,183.08
14-0086,,0,0,0,0,133
14-0086C,,0,0,0,0,247.26
14-0086NC,,0,0,0,0,294.61
14-0087C,,0,0,0,0,120.01
14-0087D,,0,0,0,0,205
14-0087MPR,,0,0,0,0,257.53
14-0087NC,,0,0,0,14,149.25
14-0087NEW,,167,26,0,1,176.37
14-0087NIP,,17,0,0,1,299.77
14-0088C,,0,0,0,0,246.5
14-0088NC,,0,0,0,0,312.5
14-0088NEW,,0,0,0,0,222.13
14-0088NIP,,18,0,0,1,242.48
14-0089C,,0,0,0,0,90.16
14-0089FD,,0,0,0,0,515.92
14-0089N,,0,0,0,0,222.6
14-0089NC,,0,0,0,0,274.65
14-0089NEW,,233,16,0,20,173.02
14-0089NIP,,0,0,0,0,271.93
14-0089P,,0,0,0,0,216.6
14-0089RC,,15,0,0,0,95.94
14-0090C,,0,0,0,0,96.38
14-0090FD,,0,0,0,0,393.68
14-0090N,,0,0,0,0,159
14-0090NC,,0,0,0,0,326.55
14-0090NEW,,619,57,0,7,172.95
14-0090NIP,,0,0,0,0,323.32
14-0090P,,30,1,0,0,156.26
14-0090RC,,1,0,0,1,115.55
14-0091C,,0,0,0,0,303.24
14-0091NC,,0,0,0,0,243.8
14-0092AFT,,0,0,0,0,171.27
14-0092C,,0,0,0,0,120.01
14-0092NC,,0,0,0,0,147.25
14-0092NEW,,1118,60,51,12,131.07
14-0092P,,849,7,0,2,152.88
14-0092RC,,12,0,0,0,115.55
14-0093C,,0,0,0,0,143.31
14-0093NC,,0,0,0,0,264.96
14-0093NEW,,27,1,0,0,248.86
14-0093RC,,3,0,0,0,203.75
14-0094NIP,,0,0,0,0,377.08
14-0095C,,0,0,0,0,214.51
14-0095N,,0,0,0,0,212
14-0095NC,,0,1,0,0,346.28
